duration,genre,overall_rating,rating_num,rel_link,runtime,title,abs_link,status
(2008–2013),"Crime, Drama, Thriller",9.5,1200906,/title/tt0903747/,49 min,Breaking Bad,https://www.imdb.com/title/tt0903747/,True
(2011–2019),"Action, Adventure, Drama",9.4,1524364,/title/tt0944947/,57 min,Game of Thrones,https://www.imdb.com/title/tt0944947/,True
(2013– ),"Animation, Adventure, Comedy",9.3,268840,/title/tt2861424/,23 min,Rick and Morty,https://www.imdb.com/title/tt2861424/,False
(2002–2008),"Crime, Drama, Thriller",9.3,244436,/title/tt0306414/,59 min,The Wire,https://www.imdb.com/title/tt0306414/,True
(2005–2008),"Animation, Action, Adventure",9.2,189248,/title/tt0417299/,23 min,Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,True
(1999–2007),"Crime, Drama",9.2,251414,/title/tt0141842/,55 min,The Sopranos,https://www.imdb.com/title/tt0141842/,True
(2010– ),"Crime, Drama, Mystery",9.1,702900,/title/tt1475582/,88 min,Sherlock,https://www.imdb.com/title/tt1475582/,False
(2014– ),"Crime, Drama, Thriller",9.0,271384,/title/tt2802850/,53 min,Fargo,https://www.imdb.com/title/tt2802850/,False
(2014– ),"Crime, Drama, Mystery",9.0,439886,/title/tt2356777/,55 min,True Detective,https://www.imdb.com/title/tt2356777/,False
(2006–2007),"Animation, Crime, Drama",9.0,182126,/title/tt0877057/,24 min,Death Note: Desu nôto,https://www.imdb.com/title/tt0877057/,True
(2002–2003),"Adventure, Drama, Sci-Fi",9.0,225306,/title/tt0303461/,44 min,Firefly,https://www.imdb.com/title/tt0303461/,True
(2016– ),"Drama, Fantasy, Horror",8.9,588301,/title/tt4574334/,51 min,Stranger Things,https://www.imdb.com/title/tt4574334/,False
(2011– ),"Drama, Sci-Fi, Thriller",8.9,314541,/title/tt2085059/,60 min,Black Mirror,https://www.imdb.com/title/tt2085059/,False
(1994–2004),"Comedy, Romance",8.9,670828,/title/tt0108778/,22 min,Friends,https://www.imdb.com/title/tt0108778/,True
(1989–1998),Comedy,8.9,223949,/title/tt0098904/,22 min,Seinfeld,https://www.imdb.com/title/tt0098904/,True
(2015–2017),"Biography, Crime, Drama",8.8,292047,/title/tt2707408/,49 min,Narcos,https://www.imdb.com/title/tt2707408/,True
(2013– ),"Animation, Action, Adventure",8.8,111028,/title/tt2560140/,24 min,Shingeki no kyojin,https://www.imdb.com/title/tt2560140/,False
(2013– ),"Crime, Drama",8.8,195351,/title/tt2442560/,60 min,Peaky Blinders,https://www.imdb.com/title/tt2442560/,False
(2013–2018),Drama,8.8,429265,/title/tt1856010/,51 min,House of Cards,https://www.imdb.com/title/tt1856010/,True
(2016– ),"Drama, Mystery, Sci-Fi",8.8,342725,/title/tt0475784/,62 min,Westworld,https://www.imdb.com/title/tt0475784/,False
(2005– ),Comedy,8.8,170044,/title/tt0472954/,22 min,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,False
(2005–2013),Comedy,8.8,294961,/title/tt0386676/,22 min,The Office,https://www.imdb.com/title/tt0386676/,True
(2005–2007),"Action, Drama, History",8.8,140346,/title/tt0384766/,90 min,Rome,https://www.imdb.com/title/tt0384766/,True
(2003– ),Comedy,8.8,255182,/title/tt0367279/,22 min,Arrested Development,https://www.imdb.com/title/tt0367279/,False
(1999–2000),"Comedy, Drama",8.8,118377,/title/tt0193676/,44 min,Freaks and Geeks,https://www.imdb.com/title/tt0193676/,True
(1990–1991),"Crime, Drama, Mystery",8.8,153725,/title/tt0098936/,47 min,Twin Peaks,https://www.imdb.com/title/tt0098936/,True
(2018– ),"Drama, Horror, Mystery",8.7,113313,/title/tt6763664/,50 min,The Haunting of Hill House,https://www.imdb.com/title/tt6763664/,False
(2015–2018),"Action, Crime, Drama",8.7,327911,/title/tt3322312/,54 min,Daredevil,https://www.imdb.com/title/tt3322312/,True
(2015– ),"Crime, Drama",8.7,247306,/title/tt3032476/,46 min,Better Call Saul,https://www.imdb.com/title/tt3032476/,False
(2002– ),"Comedy, Talk-Show",8.7,100330,/title/tt1628033/,60 min,Top Gear,https://www.imdb.com/title/tt1628033/,False
(2010–2015),"Drama, Romance",8.7,141592,/title/tt1606375/,58 min,Downton Abbey,https://www.imdb.com/title/tt1606375/,True
(2011– ),"Comedy, Drama",8.7,170063,/title/tt1586680/,46 min,Shameless,https://www.imdb.com/title/tt1586680/,False
(2009– ),"Animation, Action, Comedy",8.7,123354,/title/tt1486217/,22 min,Archer,https://www.imdb.com/title/tt1486217/,False
(2006–2013),"Crime, Drama, Mystery",8.7,596369,/title/tt0773262/,53 min,Dexter,https://www.imdb.com/title/tt0773262/,True
(2005– ),"Adventure, Drama, Family",8.7,183499,/title/tt0436992/,45 min,Doctor Who,https://www.imdb.com/title/tt0436992/,False
(2004–2012),"Drama, Mystery",8.7,374459,/title/tt0412142/,44 min,House M.D.,https://www.imdb.com/title/tt0412142/,True
(2004–2009),"Action, Adventure, Drama",8.7,140872,/title/tt0407362/,44 min,Battlestar Galactica,https://www.imdb.com/title/tt0407362/,True
(2001–2005),"Comedy, Drama",8.7,110270,/title/tt0248654/,55 min,Six Feet Under,https://www.imdb.com/title/tt0248654/,True
(1996–2003),"Animation, Action, Adventure",8.7,101185,/title/tt0214341/,24 min,Dragon Ball Z,https://www.imdb.com/title/tt0214341/,True
(1997– ),"Animation, Comedy",8.7,299786,/title/tt0121955/,22 min,South Park,https://www.imdb.com/title/tt0121955/,False
(1993– ),"Drama, Mystery, Sci-Fi",8.7,182659,/title/tt0106179/,45 min,The X Files,https://www.imdb.com/title/tt0106179/,False
(1989– ),"Animation, Comedy",8.7,332302,/title/tt0096697/,22 min,The Simpsons,https://www.imdb.com/title/tt0096697/,False
(2017– ),"Action, Crime, Mystery",8.6,126337,/title/tt6468322/,70 min,La Casa de Papel,https://www.imdb.com/title/tt6468322/,False
(2017– ),"Crime, Drama, Mystery",8.6,102393,/title/tt5753856/,60 min,Dark,https://www.imdb.com/title/tt5753856/,False
(2017–2019),"Action, Adventure, Crime",8.6,147413,/title/tt5675620/,53 min,The Punisher,https://www.imdb.com/title/tt5675620/,True
(2017– ),"Crime, Drama, Mystery",8.6,102576,/title/tt3920596/,60 min,Big Little Lies,https://www.imdb.com/title/tt3920596/,False
(2013– ),"Action, Adventure, Drama",8.6,338965,/title/tt2306299/,44 min,Vikings,https://www.imdb.com/title/tt2306299/,False
(2009–2015),Comedy,8.6,175557,/title/tt1266020/,22 min,Parks and Recreation,https://www.imdb.com/title/tt1266020/,True
(2008–2014),"Crime, Drama, Thriller",8.6,229956,/title/tt1124373/,45 min,Sons of Anarchy,https://www.imdb.com/title/tt1124373/,True
(2010–2014),"Crime, Drama, History",8.6,159285,/title/tt0979432/,55 min,Boardwalk Empire,https://www.imdb.com/title/tt0979432/,True
(2007–2015),Drama,8.6,179840,/title/tt0804503/,47 min,Mad Men,https://www.imdb.com/title/tt0804503/,True
(2017– ),"Drama, Sci-Fi, Thriller",8.5,115793,/title/tt5834204/,60 min,The Handmaid's Tale,https://www.imdb.com/title/tt5834204/,False
(2017– ),"Crime, Drama, Thriller",8.5,119230,/title/tt5290382/,60 min,Mindhunter,https://www.imdb.com/title/tt5290382/,False
(2015– ),"Crime, Drama, Thriller",8.5,276701,/title/tt4158110/,49 min,Mr. Robot,https://www.imdb.com/title/tt4158110/,False
(2014– ),Comedy,8.5,102771,/title/tt2575988/,28 min,Silicon Valley,https://www.imdb.com/title/tt2575988/,False
(2013–2015),"Crime, Drama, Horror",8.5,201927,/title/tt2243973/,44 min,Hannibal,https://www.imdb.com/title/tt2243973/,True
(2011– ),"Comedy, Drama",8.5,325734,/title/tt1632701/,44 min,Suits,https://www.imdb.com/title/tt1632701/,False
(2010– ),"Crime, Drama, Mystery",8.5,105234,/title/tt1474684/,60 min,Luther,https://www.imdb.com/title/tt1474684/,False
(2010–2013),"Action, Adventure, Biography",8.5,204844,/title/tt1442449/,55 min,Spartacus: Blood and Sand,https://www.imdb.com/title/tt1442449/,True
(2009–2015),Comedy,8.5,174255,/title/tt1439629/,22 min,Community,https://www.imdb.com/title/tt1439629/,True
(2006–2013),Comedy,8.5,117362,/title/tt0487831/,25 min,The IT Crowd,https://www.imdb.com/title/tt0487831/,True
(2005– ),"Drama, Fantasy, Horror",8.5,351876,/title/tt0460681/,44 min,Supernatural,https://www.imdb.com/title/tt0460681/,False
(2004–2011),"Comedy, Drama",8.5,151640,/title/tt0387199/,28 min,Entourage,https://www.imdb.com/title/tt0387199/,True
(1999–2013),"Animation, Comedy, Sci-Fi",8.5,194997,/title/tt0149460/,22 min,Futurama,https://www.imdb.com/title/tt0149460/,True
(2013– ),"Comedy, Crime",8.4,148160,/title/tt2467372/,22 min,Brooklyn Nine-Nine,https://www.imdb.com/title/tt2467372/,False
(2015–2018),"Drama, Mystery, Sci-Fi",8.4,123634,/title/tt2431438/,60 min,Sense8,https://www.imdb.com/title/tt2431438/,True
(2011–2016),"Action, Crime, Drama",8.4,152607,/title/tt1839578/,43 min,Person of Interest,https://www.imdb.com/title/tt1839578/,True
(2009– ),"Comedy, Romance",8.4,311702,/title/tt1442437/,22 min,Modern Family,https://www.imdb.com/title/tt1442437/,False
(2008–2013),"Drama, Mystery, Sci-Fi",8.4,206483,/title/tt1119644/,46 min,Fringe,https://www.imdb.com/title/tt1119644/,True
(2005–2017),"Action, Crime, Drama",8.4,429430,/title/tt0455275/,44 min,Prison Break,https://www.imdb.com/title/tt0455275/,True
(2004–2010),"Adventure, Drama, Fantasy",8.4,454746,/title/tt0411008/,44 min,Lost,https://www.imdb.com/title/tt0411008/,True
(2001–2010),"Comedy, Drama",8.4,223611,/title/tt0285403/,22 min,Scrubs,https://www.imdb.com/title/tt0285403/,True
(2001–2010),"Action, Crime, Drama",8.4,162925,/title/tt0285331/,44 min,24,https://www.imdb.com/title/tt0285331/,True
(2017– ),"Crime, Drama, Thriller",8.3,105909,/title/tt5071412/,60 min,Ozark,https://www.imdb.com/title/tt5071412/,False
(2013–2018),"Drama, Fantasy, Horror",8.3,105173,/title/tt2632424/,45 min,The Originals,https://www.imdb.com/title/tt2632424/,True
(2011– ),"Crime, Drama, Mystery",8.3,279041,/title/tt1796960/,55 min,Homeland,https://www.imdb.com/title/tt1796960/,False
(2010– ),"Drama, Horror, Thriller",8.3,785290,/title/tt1520211/,44 min,The Walking Dead,https://www.imdb.com/title/tt1520211/,False
(2009–2014),"Comedy, Crime, Drama",8.3,110038,/title/tt1358522/,40 min,White Collar,https://www.imdb.com/title/tt1358522/,True
(2007–2014),"Comedy, Drama",8.3,163437,/title/tt0904208/,28 min,Californication,https://www.imdb.com/title/tt0904208/,True
(2005–2014),"Comedy, Romance",8.3,539328,/title/tt0460649/,22 min,How I Met Your Mother,https://www.imdb.com/title/tt0460649/,True
(2015– ),"Crime, Drama, Fantasy",8.2,148116,/title/tt4052886/,42 min,Lucifer,https://www.imdb.com/title/tt4052886/,False
(2014– ),"Crime, Drama, Mystery",8.2,103915,/title/tt3205802/,43 min,How to Get Away with Murder,https://www.imdb.com/title/tt3205802/,False
(2014–2019),"Drama, Fantasy, Horror",8.2,100823,/title/tt2628232/,60 min,Penny Dreadful,https://www.imdb.com/title/tt2628232/,True
(2018– ),"Action, Drama, Sci-Fi",8.2,101837,/title/tt2261227/,60 min,Altered Carbon,https://www.imdb.com/title/tt2261227/,False
(2007–2012),"Action, Comedy, Drama",8.2,120589,/title/tt0934814/,43 min,Chuck,https://www.imdb.com/title/tt0934814/,True
(2007–2019),"Comedy, Romance",8.2,646470,/title/tt0898266/,22 min,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,True
(2006–2013),Comedy,8.2,103832,/title/tt0496424/,22 min,30 Rock,https://www.imdb.com/title/tt0496424/,True
(1999– ),"Animation, Comedy",8.2,282860,/title/tt0182576/,22 min,Family Guy,https://www.imdb.com/title/tt0182576/,False
(1997–2003),"Action, Drama, Fantasy",8.2,117989,/title/tt0118276/,44 min,Buffy the Vampire Slayer,https://www.imdb.com/title/tt0118276/,True
(2013– ),"Crime, Drama, Mystery",8.1,158822,/title/tt2741602/,43 min,The Blacklist,https://www.imdb.com/title/tt2741602/,False
(2013– ),"Comedy, Crime, Drama",8.1,254084,/title/tt2372162/,59 min,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,False
(2011– ),"Drama, Horror, Thriller",8.1,248514,/title/tt1844624/,60 min,American Horror Story,https://www.imdb.com/title/tt1844624/,False
(2009–2016),"Comedy, Crime, Drama",8.1,132613,/title/tt1219024/,43 min,Castle,https://www.imdb.com/title/tt1219024/,True
(2008–2015),"Crime, Drama, Mystery",8.1,151882,/title/tt1196946/,43 min,The Mentalist,https://www.imdb.com/title/tt1196946/,True
(2005– ),"Crime, Drama, Mystery",8.1,138296,/title/tt0452046/,42 min,Criminal Minds,https://www.imdb.com/title/tt0452046/,False
(1998–2006),"Comedy, Romance",8.1,139771,/title/tt0165598/,22 min,That '70s Show,https://www.imdb.com/title/tt0165598/,True
(2015–2019),"Action, Crime, Drama",8.0,172449,/title/tt2357547/,56 min,Jessica Jones,https://www.imdb.com/title/tt2357547/,True
(2017– ),"Drama, Mystery",8.0,210243,/title/tt1837492/,60 min,13 Reasons Why,https://www.imdb.com/title/tt1837492/,False
(2009–2011),"Crime, Drama, Mystery",8.0,103510,/title/tt1235099/,43 min,Lie to Me,https://www.imdb.com/title/tt1235099/,True
(2000–2006),"Comedy, Family",8.0,108443,/title/tt0212671/,22 min,Malcolm in the Middle,https://www.imdb.com/title/tt0212671/,True
(2014–2019),"Action, Crime, Drama",7.9,194834,/title/tt3749900/,42 min,Gotham,https://www.imdb.com/title/tt3749900/,True
(2014– ),"Action, Adventure, Drama",7.9,275918,/title/tt3107288/,43 min,The Flash,https://www.imdb.com/title/tt3107288/,False
(2011–2015),"Drama, Mystery, Thriller",7.9,107306,/title/tt1837642/,44 min,Revenge,https://www.imdb.com/title/tt1837642/,True
(2008–2014),"Drama, Fantasy, Mystery",7.9,218867,/title/tt0844441/,55 min,True Blood,https://www.imdb.com/title/tt0844441/,True
(2005–2017),"Comedy, Crime, Drama",7.9,129742,/title/tt0460627/,40 min,Bones,https://www.imdb.com/title/tt0460627/,True
(1990–1996),Comedy,7.9,106785,/title/tt0098800/,22 min,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,True
(2011–2018),"Adventure, Fantasy, Romance",7.8,197982,/title/tt1843230/,60 min,Once Upon a Time,https://www.imdb.com/title/tt1843230/,True
(2011–2017),"Drama, Fantasy, Horror",7.8,102089,/title/tt1830617/,45 min,Grimm,https://www.imdb.com/title/tt1830617/,True
(2003– ),"Action, Crime, Drama",7.8,107472,/title/tt0364845/,60 min,NCIS: Naval Criminal Investigative Service,https://www.imdb.com/title/tt0364845/,False
(2014– ),"Drama, Mystery, Sci-Fi",7.7,175169,/title/tt2661044/,43 min,The 100,https://www.imdb.com/title/tt2661044/,False
(2012– ),"Action, Adventure, Crime",7.7,379265,/title/tt2193021/,42 min,Arrow,https://www.imdb.com/title/tt2193021/,False
(2011–2018),Comedy,7.7,169936,/title/tt1826940/,22 min,New Girl,https://www.imdb.com/title/tt1826940/,True
(2011–2017),"Action, Drama, Fantasy",7.7,115390,/title/tt1567432/,41 min,Teen Wolf,https://www.imdb.com/title/tt1567432/,True
(2009–2017),"Drama, Fantasy, Horror",7.7,261665,/title/tt1405406/,43 min,The Vampire Diaries,https://www.imdb.com/title/tt1405406/,True
(II) (2006–2010),"Drama, Fantasy, Sci-Fi",7.6,218563,/title/tt0813715/,45 min,Heroes,https://www.imdb.com/title/tt0813715/,True
(2005– ),"Drama, Romance",7.6,212136,/title/tt0413573/,41 min,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,False
(2013– ),"Action, Adventure, Drama",7.5,182344,/title/tt2364582/,45 min,Agents of S.H.I.E.L.D.,https://www.imdb.com/title/tt2364582/,False
(2010–2017),"Drama, Mystery, Romance",7.5,142358,/title/tt1578873/,44 min,Pretty Little Liars,https://www.imdb.com/title/tt1578873/,True
(2004–2012),"Comedy, Drama, Mystery",7.5,106907,/title/tt0410975/,45 min,Desperate Housewives,https://www.imdb.com/title/tt0410975/,True
(2001–2011),"Adventure, Drama, Romance",7.5,108783,/title/tt0279600/,60 min,Smallville,https://www.imdb.com/title/tt0279600/,True
(2016–2018),"Action, Crime, Drama",7.4,104034,/title/tt3322314/,55 min,Luke Cage,https://www.imdb.com/title/tt3322314/,True
(2007–2012),"Drama, Romance",7.4,139309,/title/tt0397442/,42 min,Gossip Girl,https://www.imdb.com/title/tt0397442/,True
(2005– ),"Animation, Comedy",7.4,106452,/title/tt0397306/,22 min,American Dad!,https://www.imdb.com/title/tt0397306/,False
(2003–2015),"Comedy, Romance",7.1,226240,/title/tt0369179/,22 min,Two and a Half Men,https://www.imdb.com/title/tt0369179/,True
(2009–2015),"Comedy, Drama, Music",6.8,125129,/title/tt1327801/,44 min,Glee,https://www.imdb.com/title/tt1327801/,True
(2017–2018),"Action, Adventure, Crime",6.6,100242,/title/tt3322310/,55 min,Iron Fist,https://www.imdb.com/title/tt3322310/,True
